% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 16 2026, 10:05"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.000000000000000E-7,7.494811450000000E2,6.649249739016930E-3∠0.000000000000000E0°,6.649249739016930E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
4.050000000000000E-7,7.402282913580246E2,6.634913154005662E-3∠0.000000000000000E0°,6.634913154005662E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
4.100000000000000E-7,7.312011170731707E2,6.617614478736425E-3∠0.000000000000000E0°,6.617614478736425E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
4.150000000000000E-7,7.223914650602409E2,6.602108041825636E-3∠0.000000000000000E0°,6.602108041825636E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
4.200000000000000E-7,7.137915666666668E2,6.582253428842447E-3∠0.000000000000000E0°,6.582253428842447E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
4.250000000000000E-7,7.053940188235294E2,6.551561490072324E-3∠0.000000000000000E0°,6.551561490072324E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
4.300000000000000E-7,6.971917627906976E2,6.525162941013813E-3∠0.000000000000000E0°,6.525162941013813E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
4.350000000000000E-7,6.891780643678161E2,6.495015477187109E-3∠0.000000000000000E0°,6.495015477187109E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
4.400000000000000E-7,6.813464954545454E2,6.469476923266569E-3∠0.000000000000000E0°,6.469476923266569E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
4.450000000000000E-7,6.736909168539327E2,6.421993166444611E-3∠0.000000000000000E0°,6.421993166444611E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
4.500000000000000E-7,6.662054622222222E2,6.391589482349396E-3∠0.000000000000000E0°,6.391589482349396E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
4.550000000000000E-7,6.588845230769230E2,6.359521966431402E-3∠0.000000000000000E0°,6.359521966431402E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
4.600000000000000E-7,6.517227347826087E2,6.323721672961915E-3∠0.000000000000000E0°,6.323721672961915E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
4.650000000000000E-7,6.447149634408600E2,6.288574072140660E-3∠0.000000000000000E0°,6.288574072140660E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
4.700000000000000E-7,6.378562936170213E2,6.243374002169179E-3∠0.000000000000000E0°,6.243374002169179E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
4.750000000000000E-7,6.311420168421052E2,6.208853492319755E-3∠0.000000000000000E0°,6.208853492319755E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
4.800000000000000E-7,6.245676208333332E2,6.175255356786078E-3∠0.000000000000000E0°,6.175255356786078E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
4.850000000000000E-7,6.181287793814432E2,6.137080558681585E-3∠0.000000000000000E0°,6.137080558681585E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
4.900000000000000E-7,6.118213428571429E2,6.094506039823199E-3∠0.000000000000000E0°,6.094506039823199E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
4.950000000000000E-7,6.056413292929291E2,6.053379720541500E-3∠0.000000000000000E0°,6.053379720541500E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.000000000000000E-7,5.995849160000000E2,6.009883517976129E-3∠0.000000000000000E0°,6.009883517976129E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.050000000000000E-7,5.936484316831683E2,5.969703906364620E-3∠0.000000000000000E0°,5.969703906364620E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.100000000000000E-7,5.878283490196079E2,5.930792825105412E-3∠0.000000000000000E0°,5.930792825105412E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.149999999999999E-7,5.821212776699030E2,5.890342721248833E-3∠0.000000000000000E0°,5.890342721248833E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.200000000000000E-7,5.765239576923076E2,5.850333105182863E-3∠0.000000000000000E0°,5.850333105182863E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.250000000000000E-7,5.710332533333334E2,5.809390383299950E-3∠0.000000000000000E0°,5.809390383299950E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.300000000000000E-7,5.656461471698113E2,5.768234823119633E-3∠0.000000000000000E0°,5.768234823119633E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.350000000000000E-7,5.603597345794393E2,5.727581502614175E-3∠0.000000000000000E0°,5.727581502614175E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.400000000000000E-7,5.551712185185185E2,5.688670595861622E-3∠0.000000000000000E0°,5.688670595861622E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.450000000000000E-7,5.500779045871560E2,5.648349776689772E-3∠0.000000000000000E0°,5.648349776689772E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.500000000000000E-7,5.450771963636364E2,5.606528966721164E-3∠0.000000000000000E0°,5.606528966721164E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.550000000000000E-7,5.401665909909910E2,5.571919878061899E-3∠0.000000000000000E0°,5.571919878061899E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.599999999999999E-7,5.353436750000001E2,5.531436462995796E-3∠0.000000000000000E0°,5.531436462995796E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.650000000000000E-7,5.306061203539823E2,5.491631179439435E-3∠0.000000000000000E0°,5.491631179439435E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.700000000000000E-7,5.259516807017543E2,5.453233841000695E-3∠0.000000000000000E0°,5.453233841000695E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.750000000000000E-7,5.213781878260869E2,5.418550871168035E-3∠0.000000000000000E0°,5.418550871168035E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.800000000000000E-7,5.168835482758622E2,5.380200973135852E-3∠0.000000000000000E0°,5.380200973135852E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.850000000000000E-7,5.124657401709401E2,5.338954754344473E-3∠0.000000000000000E0°,5.338954754344473E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.900000000000000E-7,5.081228101694915E2,5.301941123133360E-3∠0.000000000000000E0°,5.301941123133360E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
5.950000000000000E-7,5.038528705882353E2,5.262573003804586E-3∠0.000000000000000E0°,5.262573003804586E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
6.000000000000000E-7,4.996540966666667E2,5.224861419374489E-3∠0.000000000000000E0°,5.224861419374489E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
6.049999999999999E-7,4.955247239669422E2,5.187139065602151E-3∠0.000000000000000E0°,5.187139065602151E-3∠0.000000000000000E0°,1.047197551196598E0∠0.000000000000000E0°
