% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 20 2026, 18:54"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
6.200000000000000E-7,4.835362225806452E2,2.619989212228439E-2∠0.000000000000000E0°,2.619989212228439E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.249999999999999E-7,4.796679328000001E2,2.640310412844963E-2∠0.000000000000000E0°,2.640310412844963E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.300000000000000E-7,4.758610444444444E2,2.660083039135570E-2∠0.000000000000000E0°,2.660083039135570E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.350000000000000E-7,4.721141070866142E2,2.679407333038671E-2∠0.000000000000000E0°,2.679407333038671E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.400000000000000E-7,4.684257156250000E2,2.699244069201708E-2∠0.000000000000000E0°,2.699244069201708E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.450000000000000E-7,4.647945085271318E2,2.718747148797730E-2∠0.000000000000000E0°,2.718747148797730E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.499999999999999E-7,4.612191661538462E2,2.737799775959197E-2∠0.000000000000000E0°,2.737799775959197E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.550000000000000E-7,4.576984091603053E2,2.756347432937744E-2∠0.000000000000000E0°,2.756347432937744E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.600000000000000E-7,4.542309969696970E2,2.774692747895455E-2∠0.000000000000000E0°,2.774692747895455E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.650000000000000E-7,4.508157263157895E2,2.793217125881356E-2∠0.000000000000000E0°,2.793217125881356E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.699999999999999E-7,4.474514298507463E2,2.810959784231253E-2∠0.000000000000000E0°,2.810959784231253E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.750000000000000E-7,4.441369748148147E2,2.828088528013324E-2∠0.000000000000000E0°,2.828088528013324E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.800000000000000E-7,4.408712617647059E2,2.846273185214401E-2∠0.000000000000000E0°,2.846273185214401E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.850000000000000E-7,4.376532233576642E2,2.863344945194368E-2∠0.000000000000000E0°,2.863344945194368E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.900000000000000E-7,4.344818231884058E2,2.879256601361771E-2∠0.000000000000000E0°,2.879256601361771E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.949999999999999E-7,4.313560546762591E2,2.895377737441579E-2∠0.000000000000000E0°,2.895377737441579E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.000000000000000E-7,4.282749400000000E2,2.911622179357440E-2∠0.000000000000000E0°,2.911622179357440E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.050000000000000E-7,4.252375290780141E2,2.926321321298393E-2∠0.000000000000000E0°,2.926321321298393E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.100000000000000E-7,4.222428985915493E2,2.941842624927524E-2∠0.000000000000000E0°,2.941842624927524E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.149999999999999E-7,4.192901510489510E2,2.957964155810997E-2∠0.000000000000000E0°,2.957964155810997E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.200000000000000E-7,4.163784138888889E2,2.972810067762113E-2∠0.000000000000000E0°,2.972810067762113E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.250000000000000E-7,4.135068386206896E2,2.987760249050537E-2∠0.000000000000000E0°,2.987760249050537E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.300000000000000E-7,4.106746000000000E2,3.000381046291116E-2∠0.000000000000000E0°,3.000381046291116E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.350000000000000E-7,4.078808952380953E2,3.014261290790880E-2∠0.000000000000000E0°,3.014261290790880E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.400000000000000E-7,4.051249432432432E2,3.027421224133411E-2∠0.000000000000000E0°,3.027421224133411E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.450000000000000E-7,4.024059838926175E2,3.040579053197277E-2∠0.000000000000000E0°,3.040579053197277E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.500000000000000E-7,3.997232773333333E2,3.053938098542634E-2∠0.000000000000000E0°,3.053938098542634E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
