% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 16 2026, 10:03"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.000000000000000E-7,7.494811450000000E2,1.763731473510137E-5∠0.000000000000000E0°,1.763731473510137E-5∠0.000000000000000E0°,8.726646259971648E-1∠0.000000000000000E0°
4.050000000000000E-7,7.402282913580246E2,1.134867447469373E-5∠0.000000000000000E0°,1.134867447469373E-5∠0.000000000000000E0°,8.726646259971648E-1∠0.000000000000000E0°
4.100000000000000E-7,7.312011170731707E2,7.970273116516565E-6∠0.000000000000000E0°,7.970273116516565E-6∠0.000000000000000E0°,8.726646259971648E-1∠0.000000000000000E0°
4.150000000000000E-7,7.223914650602409E2,7.483912795691509E-6∠0.000000000000000E0°,7.483912795691509E-6∠0.000000000000000E0°,8.726646259971648E-1∠0.000000000000000E0°
4.200000000000000E-7,7.137915666666668E2,9.689819629932969E-6∠0.000000000000000E0°,9.689819629932969E-6∠0.000000000000000E0°,8.726646259971648E-1∠0.000000000000000E0°
4.250000000000000E-7,7.053940188235294E2,1.454244497550365E-5∠0.000000000000000E0°,1.454244497550365E-5∠0.000000000000000E0°,8.726646259971648E-1∠0.000000000000000E0°
4.300000000000000E-7,6.971917627906976E2,2.162158289177837E-5∠0.000000000000000E0°,2.162158289177837E-5∠0.000000000000000E0°,8.726646259971648E-1∠0.000000000000000E0°
4.350000000000000E-7,6.891780643678161E2,3.090973400913905E-5∠0.000000000000000E0°,3.090973400913905E-5∠0.000000000000000E0°,8.726646259971648E-1∠0.000000000000000E0°
4.400000000000000E-7,6.813464954545454E2,4.229809703701369E-5∠0.000000000000000E0°,4.229809703701369E-5∠0.000000000000000E0°,8.726646259971648E-1∠0.000000000000000E0°
4.450000000000000E-7,6.736909168539327E2,5.512439077856213E-5∠0.000000000000000E0°,5.512439077856213E-5∠0.000000000000000E0°,8.726646259971648E-1∠0.000000000000000E0°
