% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 16 2026, 09:59"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.000000000000000E-7,7.494811450000000E2,3.061981274959429E-3∠0.000000000000000E0°,3.061981274959429E-3∠0.000000000000000E0°,6.981317007977318E-1∠0.000000000000000E0°
4.050000000000000E-7,7.402282913580246E2,2.983168260371343E-3∠0.000000000000000E0°,2.983168260371343E-3∠0.000000000000000E0°,6.981317007977318E-1∠0.000000000000000E0°
4.100000000000000E-7,7.312011170731707E2,2.917351601602448E-3∠0.000000000000000E0°,2.917351601602448E-3∠0.000000000000000E0°,6.981317007977318E-1∠0.000000000000000E0°
4.150000000000000E-7,7.223914650602409E2,2.863550212317109E-3∠0.000000000000000E0°,2.863550212317109E-3∠0.000000000000000E0°,6.981317007977318E-1∠0.000000000000000E0°
4.200000000000000E-7,7.137915666666668E2,2.820273752794631E-3∠0.000000000000000E0°,2.820273752794631E-3∠0.000000000000000E0°,6.981317007977318E-1∠0.000000000000000E0°
4.250000000000000E-7,7.053940188235294E2,2.789190473684714E-3∠0.000000000000000E0°,2.789190473684714E-3∠0.000000000000000E0°,6.981317007977318E-1∠0.000000000000000E0°
4.300000000000000E-7,6.971917627906976E2,2.767484151394966E-3∠0.000000000000000E0°,2.767484151394966E-3∠0.000000000000000E0°,6.981317007977318E-1∠0.000000000000000E0°
4.350000000000000E-7,6.891780643678161E2,2.754920039099764E-3∠0.000000000000000E0°,2.754920039099764E-3∠0.000000000000000E0°,6.981317007977318E-1∠0.000000000000000E0°
4.400000000000000E-7,6.813464954545454E2,2.751251795271807E-3∠0.000000000000000E0°,2.751251795271807E-3∠0.000000000000000E0°,6.981317007977318E-1∠0.000000000000000E0°
4.450000000000000E-7,6.736909168539327E2,2.756009929786235E-3∠0.000000000000000E0°,2.756009929786235E-3∠0.000000000000000E0°,6.981317007977318E-1∠0.000000000000000E0°
4.500000000000000E-7,6.662054622222222E2,2.768450827045945E-3∠0.000000000000000E0°,2.768450827045945E-3∠0.000000000000000E0°,6.981317007977318E-1∠0.000000000000000E0°
4.550000000000000E-7,6.588845230769230E2,2.787986677518906E-3∠0.000000000000000E0°,2.787986677518906E-3∠0.000000000000000E0°,6.981317007977318E-1∠0.000000000000000E0°
4.600000000000000E-7,6.517227347826087E2,2.813297790845645E-3∠0.000000000000000E0°,2.813297790845645E-3∠0.000000000000000E0°,6.981317007977318E-1∠0.000000000000000E0°
4.650000000000000E-7,6.447149634408600E2,2.845716758345917E-3∠0.000000000000000E0°,2.845716758345917E-3∠0.000000000000000E0°,6.981317007977318E-1∠0.000000000000000E0°
4.700000000000000E-7,6.378562936170213E2,2.883807857643935E-3∠0.000000000000000E0°,2.883807857643935E-3∠0.000000000000000E0°,6.981317007977318E-1∠0.000000000000000E0°
4.750000000000000E-7,6.311420168421052E2,2.927142415875320E-3∠0.000000000000000E0°,2.927142415875320E-3∠0.000000000000000E0°,6.981317007977318E-1∠0.000000000000000E0°
