% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 16 2026, 10:08"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.000000000000000E-7,7.494811450000000E2,5.203768293531721E-2∠0.000000000000000E0°,5.203768293531721E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
4.050000000000000E-7,7.402282913580246E2,5.199845911618018E-2∠0.000000000000000E0°,5.199845911618018E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
4.100000000000000E-7,7.312011170731707E2,5.195590720672097E-2∠0.000000000000000E0°,5.195590720672097E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
4.150000000000000E-7,7.223914650602409E2,5.189126888445475E-2∠0.000000000000000E0°,5.189126888445475E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
4.200000000000000E-7,7.137915666666668E2,5.183195291480851E-2∠0.000000000000000E0°,5.183195291480851E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
4.250000000000000E-7,7.053940188235294E2,5.179204565620808E-2∠0.000000000000000E0°,5.179204565620808E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
4.300000000000000E-7,6.971917627906976E2,5.170507969065038E-2∠0.000000000000000E0°,5.170507969065038E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
4.350000000000000E-7,6.891780643678161E2,5.162677945632636E-2∠0.000000000000000E0°,5.162677945632636E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
4.400000000000000E-7,6.813464954545454E2,5.157863516560011E-2∠0.000000000000000E0°,5.157863516560011E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
4.450000000000000E-7,6.736909168539327E2,5.149161927357832E-2∠0.000000000000000E0°,5.149161927357832E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
4.500000000000000E-7,6.662054622222222E2,5.142648951445833E-2∠0.000000000000000E0°,5.142648951445833E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
4.550000000000000E-7,6.588845230769230E2,5.133082047574596E-2∠0.000000000000000E0°,5.133082047574596E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
4.600000000000000E-7,6.517227347826087E2,5.122714029052354E-2∠0.000000000000000E0°,5.122714029052354E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
4.650000000000000E-7,6.447149634408600E2,5.114143200181361E-2∠0.000000000000000E0°,5.114143200181361E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
4.700000000000000E-7,6.378562936170213E2,5.107446194697402E-2∠0.000000000000000E0°,5.107446194697402E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
4.750000000000000E-7,6.311420168421052E2,5.099412735267439E-2∠0.000000000000000E0°,5.099412735267439E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
4.800000000000000E-7,6.245676208333332E2,5.089082071239291E-2∠0.000000000000000E0°,5.089082071239291E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
4.850000000000000E-7,6.181287793814432E2,5.078937074530909E-2∠0.000000000000000E0°,5.078937074530909E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
4.900000000000000E-7,6.118213428571429E2,5.066141288496975E-2∠0.000000000000000E0°,5.066141288496975E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
4.950000000000000E-7,6.056413292929291E2,5.059010589351533E-2∠0.000000000000000E0°,5.059010589351533E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
5.000000000000000E-7,5.995849160000000E2,5.049665421015538E-2∠0.000000000000000E0°,5.049665421015538E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
5.050000000000000E-7,5.936484316831683E2,5.038540708977422E-2∠0.000000000000000E0°,5.038540708977422E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
5.100000000000000E-7,5.878283490196079E2,5.027199167028046E-2∠0.000000000000000E0°,5.027199167028046E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
5.149999999999999E-7,5.821212776699030E2,5.016534711935723E-2∠0.000000000000000E0°,5.016534711935723E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
5.200000000000000E-7,5.765239576923076E2,5.006943528621358E-2∠0.000000000000000E0°,5.006943528621358E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
5.250000000000000E-7,5.710332533333334E2,4.996739731968627E-2∠0.000000000000000E0°,4.996739731968627E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
5.300000000000000E-7,5.656461471698113E2,4.988922671808760E-2∠0.000000000000000E0°,4.988922671808760E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
5.350000000000000E-7,5.603597345794393E2,4.979081954900296E-2∠0.000000000000000E0°,4.979081954900296E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
5.400000000000000E-7,5.551712185185185E2,4.970057830593441E-2∠0.000000000000000E0°,4.970057830593441E-2∠0.000000000000000E0°,1.221730476396031E0∠0.000000000000000E0°
