lambda_um,n,k,material,source
1.16,1.7527939,0,Al2O3,Malitson 1962 ordinary ray
1.17,1.75262213,0,Al2O3,Malitson 1962 ordinary ray
1.18,1.75245095,0,Al2O3,Malitson 1962 ordinary ray
1.19,1.75228031,0,Al2O3,Malitson 1962 ordinary ray
1.2,1.75211017,0,Al2O3,Malitson 1962 ordinary ray
1.21,1.75194047,0,Al2O3,Malitson 1962 ordinary ray
1.22,1.75177117,0,Al2O3,Malitson 1962 ordinary ray
1.23,1.75160221,0,Al2O3,Malitson 1962 ordinary ray
1.24,1.75143357,0,Al2O3,Malitson 1962 ordinary ray
1.25,1.75126518,0,Al2O3,Malitson 1962 ordinary ray
1.26,1.75109703,0,Al2O3,Malitson 1962 ordinary ray
1.27,1.75092905,0,Al2O3,Malitson 1962 ordinary ray
1.28,1.75076123,0,Al2O3,Malitson 1962 ordinary ray
1.29,1.75059352,0,Al2O3,Malitson 1962 ordinary ray
1.3,1.75042589,0,Al2O3,Malitson 1962 ordinary ray
1.31,1.7502583,0,Al2O3,Malitson 1962 ordinary ray
1.32,1.75009073,0,Al2O3,Malitson 1962 ordinary ray
1.33,1.74992314,0,Al2O3,Malitson 1962 ordinary ray
1.34,1.7497555,0,Al2O3,Malitson 1962 ordinary ray
1.35,1.74958779,0,Al2O3,Malitson 1962 ordinary ray
1.36,1.74941997,0,Al2O3,Malitson 1962 ordinary ray
1.37,1.74925203,0,Al2O3,Malitson 1962 ordinary ray
1.38,1.74908393,0,Al2O3,Malitson 1962 ordinary ray
1.39,1.74891566,0,Al2O3,Malitson 1962 ordinary ray
1.4,1.74874717,0,Al2O3,Malitson 1962 ordinary ray
1.41,1.74857847,0,Al2O3,Malitson 1962 ordinary ray
1.42,1.74840951,0,Al2O3,Malitson 1962 ordinary ray
1.43,1.74824029,0,Al2O3,Malitson 1962 ordinary ray
1.44,1.74807077,0,Al2O3,Malitson 1962 ordinary ray
1.45,1.74790095,0,Al2O3,Malitson 1962 ordinary ray
1.46,1.74773079,0,Al2O3,Malitson 1962 ordinary ray
1.47,1.74756028,0,Al2O3,Malitson 1962 ordinary ray
1.48,1.74738941,0,Al2O3,Malitson 1962 ordinary ray
1.49,1.74721816,0,Al2O3,Malitson 1962 ordinary ray
1.5,1.7470465,0,Al2O3,Malitson 1962 ordinary ray
1.51,1.74687442,0,Al2O3,Malitson 1962 ordinary ray
1.52,1.74670191,0,Al2O3,Malitson 1962 ordinary ray
1.53,1.74652895,0,Al2O3,Malitson 1962 ordinary ray
1.54,1.74635553,0,Al2O3,Malitson 1962 ordinary ray
1.55,1.74618163,0,Al2O3,Malitson 1962 ordinary ray
1.56,1.74600723,0,Al2O3,Malitson 1962 ordinary ray
1.57,1.74583233,0,Al2O3,Malitson 1962 ordinary ray
1.58,1.7456569,0,Al2O3,Malitson 1962 ordinary ray
1.59,1.74548095,0,Al2O3,Malitson 1962 ordinary ray
1.6,1.74530444,0,Al2O3,Malitson 1962 ordinary ray
1.61,1.74512738,0,Al2O3,Malitson 1962 ordinary ray
1.62,1.74494975,0,Al2O3,Malitson 1962 ordinary ray
1.63,1.74477154,0,Al2O3,Malitson 1962 ordinary ray
1.64,1.74459274,0,Al2O3,Malitson 1962 ordinary ray
1.65,1.74441333,0,Al2O3,Malitson 1962 ordinary ray
1.66,1.74423331,0,Al2O3,Malitson 1962 ordinary ray
1.67,1.74405267,0,Al2O3,Malitson 1962 ordinary ray
1.68,1.74387139,0,Al2O3,Malitson 1962 ordinary ray
1.69,1.74368947,0,Al2O3,Malitson 1962 ordinary ray
1.7,1.7435069,0,Al2O3,Malitson 1962 ordinary ray
1.71,1.74332366,0,Al2O3,Malitson 1962 ordinary ray
1.72,1.74313975,0,Al2O3,Malitson 1962 ordinary ray
1.73,1.74295516,0,Al2O3,Malitson 1962 ordinary ray
1.74,1.74276988,0,Al2O3,Malitson 1962 ordinary ray
1.75,1.7425839,0,Al2O3,Malitson 1962 ordinary ray
1.76,1.74239722,0,Al2O3,Malitson 1962 ordinary ray
1.77,1.74220983,0,Al2O3,Malitson 1962 ordinary ray
1.78,1.74202171,0,Al2O3,Malitson 1962 ordinary ray
1.79,1.74183287,0,Al2O3,Malitson 1962 ordinary ray
1.8,1.74164329,0,Al2O3,Malitson 1962 ordinary ray
1.81,1.74145297,0,Al2O3,Malitson 1962 ordinary ray
1.82,1.74126189,0,Al2O3,Malitson 1962 ordinary ray
1.83,1.74107006,0,Al2O3,Malitson 1962 ordinary ray
1.84,1.74087747,0,Al2O3,Malitson 1962 ordinary ray
1.85,1.7406841,0,Al2O3,Malitson 1962 ordinary ray
1.86,1.74048996,0,Al2O3,Malitson 1962 ordinary ray
1.87,1.74029503,0,Al2O3,Malitson 1962 ordinary ray
1.88,1.74009932,0,Al2O3,Malitson 1962 ordinary ray
1.89,1.73990281,0,Al2O3,Malitson 1962 ordinary ray
1.9,1.73970549,0,Al2O3,Malitson 1962 ordinary ray
1.91,1.73950738,0,Al2O3,Malitson 1962 ordinary ray
1.92,1.73930844,0,Al2O3,Malitson 1962 ordinary ray
1.93,1.73910869,0,Al2O3,Malitson 1962 ordinary ray
1.94,1.73890812,0,Al2O3,Malitson 1962 ordinary ray
1.95,1.73870672,0,Al2O3,Malitson 1962 ordinary ray
1.96,1.73850448,0,Al2O3,Malitson 1962 ordinary ray
1.97,1.7383014,0,Al2O3,Malitson 1962 ordinary ray
1.98,1.73809748,0,Al2O3,Malitson 1962 ordinary ray
1.99,1.73789271,0,Al2O3,Malitson 1962 ordinary ray
2,1.73768708,0,Al2O3,Malitson 1962 ordinary ray
2.01,1.7374806,0,Al2O3,Malitson 1962 ordinary ray
2.02,1.73727325,0,Al2O3,Malitson 1962 ordinary ray
2.03,1.73706503,0,Al2O3,Malitson 1962 ordinary ray
2.04,1.73685594,0,Al2O3,Malitson 1962 ordinary ray
2.05,1.73664597,0,Al2O3,Malitson 1962 ordinary ray
2.06,1.73643512,0,Al2O3,Malitson 1962 ordinary ray
2.07,1.73622339,0,Al2O3,Malitson 1962 ordinary ray
2.08,1.73601076,0,Al2O3,Malitson 1962 ordinary ray
2.09,1.73579724,0,Al2O3,Malitson 1962 ordinary ray
2.1,1.73558282,0,Al2O3,Malitson 1962 ordinary ray
2.11,1.7353675,0,Al2O3,Malitson 1962 ordinary ray
2.12,1.73515127,0,Al2O3,Malitson 1962 ordinary ray
2.13,1.73493413,0,Al2O3,Malitson 1962 ordinary ray
2.14,1.73471608,0,Al2O3,Malitson 1962 ordinary ray
2.15,1.73449711,0,Al2O3,Malitson 1962 ordinary ray
2.16,1.73427721,0,Al2O3,Malitson 1962 ordinary ray
2.17,1.7340564,0,Al2O3,Malitson 1962 ordinary ray
2.18,1.73383465,0,Al2O3,Malitson 1962 ordinary ray
2.19,1.73361197,0,Al2O3,Malitson 1962 ordinary ray
2.2,1.73338835,0,Al2O3,Malitson 1962 ordinary ray
2.21,1.73316379,0,Al2O3,Malitson 1962 ordinary ray
2.22,1.73293829,0,Al2O3,Malitson 1962 ordinary ray
2.23,1.73271185,0,Al2O3,Malitson 1962 ordinary ray
2.24,1.73248445,0,Al2O3,Malitson 1962 ordinary ray
2.25,1.7322561,0,Al2O3,Malitson 1962 ordinary ray
2.26,1.73202679,0,Al2O3,Malitson 1962 ordinary ray
2.27,1.73179652,0,Al2O3,Malitson 1962 ordinary ray
2.28,1.73156529,0,Al2O3,Malitson 1962 ordinary ray
2.29,1.7313331,0,Al2O3,Malitson 1962 ordinary ray
2.3,1.73109993,0,Al2O3,Malitson 1962 ordinary ray
2.31,1.73086579,0,Al2O3,Malitson 1962 ordinary ray
2.32,1.73063068,0,Al2O3,Malitson 1962 ordinary ray
2.33,1.73039458,0,Al2O3,Malitson 1962 ordinary ray
2.34,1.73015751,0,Al2O3,Malitson 1962 ordinary ray
2.35,1.72991945,0,Al2O3,Malitson 1962 ordinary ray
2.36,1.7296804,0,Al2O3,Malitson 1962 ordinary ray
2.37,1.72944036,0,Al2O3,Malitson 1962 ordinary ray
2.38,1.72919933,0,Al2O3,Malitson 1962 ordinary ray
2.39,1.7289573,0,Al2O3,Malitson 1962 ordinary ray
2.4,1.72871427,0,Al2O3,Malitson 1962 ordinary ray
2.41,1.72847024,0,Al2O3,Malitson 1962 ordinary ray
2.42,1.72822521,0,Al2O3,Malitson 1962 ordinary ray
2.43,1.72797916,0,Al2O3,Malitson 1962 ordinary ray
2.44,1.72773211,0,Al2O3,Malitson 1962 ordinary ray
2.45,1.72748404,0,Al2O3,Malitson 1962 ordinary ray
2.46,1.72723496,0,Al2O3,Malitson 1962 ordinary ray
2.47,1.72698486,0,Al2O3,Malitson 1962 ordinary ray
2.48,1.72673373,0,Al2O3,Malitson 1962 ordinary ray
2.49,1.72648159,0,Al2O3,Malitson 1962 ordinary ray
2.5,1.72622841,0,Al2O3,Malitson 1962 ordinary ray
2.51,1.72597421,0,Al2O3,Malitson 1962 ordinary ray
2.52,1.72571897,0,Al2O3,Malitson 1962 ordinary ray
2.53,1.7254627,0,Al2O3,Malitson 1962 ordinary ray
2.54,1.7252054,0,Al2O3,Malitson 1962 ordinary ray
2.55,1.72494705,0,Al2O3,Malitson 1962 ordinary ray
2.56,1.72468766,0,Al2O3,Malitson 1962 ordinary ray
2.57,1.72442723,0,Al2O3,Malitson 1962 ordinary ray
2.58,1.72416575,0,Al2O3,Malitson 1962 ordinary ray
2.59,1.72390321,0,Al2O3,Malitson 1962 ordinary ray
2.6,1.72363963,0,Al2O3,Malitson 1962 ordinary ray
2.61,1.72337499,0,Al2O3,Malitson 1962 ordinary ray
2.62,1.7231093,0,Al2O3,Malitson 1962 ordinary ray
2.63,1.72284254,0,Al2O3,Malitson 1962 ordinary ray
2.64,1.72257472,0,Al2O3,Malitson 1962 ordinary ray
2.65,1.72230584,0,Al2O3,Malitson 1962 ordinary ray
2.66,1.72203589,0,Al2O3,Malitson 1962 ordinary ray
2.67,1.72176487,0,Al2O3,Malitson 1962 ordinary ray
2.68,1.72149277,0,Al2O3,Malitson 1962 ordinary ray
2.69,1.72121961,0,Al2O3,Malitson 1962 ordinary ray
2.7,1.72094536,0,Al2O3,Malitson 1962 ordinary ray
2.71,1.72067004,0,Al2O3,Malitson 1962 ordinary ray
2.72,1.72039363,0,Al2O3,Malitson 1962 ordinary ray
2.73,1.72011614,0,Al2O3,Malitson 1962 ordinary ray
2.74,1.71983757,0,Al2O3,Malitson 1962 ordinary ray
2.75,1.7195579,0,Al2O3,Malitson 1962 ordinary ray
2.76,1.71927714,0,Al2O3,Malitson 1962 ordinary ray
2.77,1.71899529,0,Al2O3,Malitson 1962 ordinary ray
2.78,1.71871235,0,Al2O3,Malitson 1962 ordinary ray
2.79,1.7184283,0,Al2O3,Malitson 1962 ordinary ray
2.8,1.71814315,0,Al2O3,Malitson 1962 ordinary ray
2.81,1.71785691,0,Al2O3,Malitson 1962 ordinary ray
2.82,1.71756955,0,Al2O3,Malitson 1962 ordinary ray
2.83,1.71728109,0,Al2O3,Malitson 1962 ordinary ray
2.84,1.71699151,0,Al2O3,Malitson 1962 ordinary ray
2.85,1.71670083,0,Al2O3,Malitson 1962 ordinary ray
2.86,1.71640903,0,Al2O3,Malitson 1962 ordinary ray
2.87,1.71611611,0,Al2O3,Malitson 1962 ordinary ray
2.88,1.71582207,0,Al2O3,Malitson 1962 ordinary ray
2.89,1.71552691,0,Al2O3,Malitson 1962 ordinary ray
2.9,1.71523063,0,Al2O3,Malitson 1962 ordinary ray
2.91,1.71493322,0,Al2O3,Malitson 1962 ordinary ray
2.92,1.71463468,0,Al2O3,Malitson 1962 ordinary ray
2.93,1.71433501,0,Al2O3,Malitson 1962 ordinary ray
2.94,1.71403421,0,Al2O3,Malitson 1962 ordinary ray
2.95,1.71373227,0,Al2O3,Malitson 1962 ordinary ray
2.96,1.71342919,0,Al2O3,Malitson 1962 ordinary ray
2.97,1.71312497,0,Al2O3,Malitson 1962 ordinary ray
2.98,1.71281961,0,Al2O3,Malitson 1962 ordinary ray
2.99,1.7125131,0,Al2O3,Malitson 1962 ordinary ray
3,1.71220545,0,Al2O3,Malitson 1962 ordinary ray
3.01,1.71189664,0,Al2O3,Malitson 1962 ordinary ray
3.02,1.71158669,0,Al2O3,Malitson 1962 ordinary ray
3.03,1.71127558,0,Al2O3,Malitson 1962 ordinary ray
3.04,1.71096331,0,Al2O3,Malitson 1962 ordinary ray
3.05,1.71064988,0,Al2O3,Malitson 1962 ordinary ray
3.06,1.71033529,0,Al2O3,Malitson 1962 ordinary ray
3.07,1.71001954,0,Al2O3,Malitson 1962 ordinary ray
3.08,1.70970262,0,Al2O3,Malitson 1962 ordinary ray
3.09,1.70938453,0,Al2O3,Malitson 1962 ordinary ray
3.1,1.70906527,0,Al2O3,Malitson 1962 ordinary ray
3.11,1.70874484,0,Al2O3,Malitson 1962 ordinary ray
3.12,1.70842324,0,Al2O3,Malitson 1962 ordinary ray
3.13,1.70810045,0,Al2O3,Malitson 1962 ordinary ray
3.14,1.70777648,0,Al2O3,Malitson 1962 ordinary ray
3.15,1.70745134,0,Al2O3,Malitson 1962 ordinary ray
3.16,1.707125,0,Al2O3,Malitson 1962 ordinary ray
3.17,1.70679748,0,Al2O3,Malitson 1962 ordinary ray
3.18,1.70646877,0,Al2O3,Malitson 1962 ordinary ray
3.19,1.70613887,0,Al2O3,Malitson 1962 ordinary ray
3.2,1.70580777,0,Al2O3,Malitson 1962 ordinary ray
3.21,1.70547547,0,Al2O3,Malitson 1962 ordinary ray
3.22,1.70514198,0,Al2O3,Malitson 1962 ordinary ray
3.23,1.70480728,0,Al2O3,Malitson 1962 ordinary ray
3.24,1.70447138,0,Al2O3,Malitson 1962 ordinary ray
3.25,1.70413428,0,Al2O3,Malitson 1962 ordinary ray
3.26,1.70379596,0,Al2O3,Malitson 1962 ordinary ray
3.27,1.70345644,0,Al2O3,Malitson 1962 ordinary ray
3.28,1.70311569,0,Al2O3,Malitson 1962 ordinary ray
3.29,1.70277374,0,Al2O3,Malitson 1962 ordinary ray
3.3,1.70243056,0,Al2O3,Malitson 1962 ordinary ray
3.31,1.70208617,0,Al2O3,Malitson 1962 ordinary ray
3.32,1.70174055,0,Al2O3,Malitson 1962 ordinary ray
3.33,1.7013937,0,Al2O3,Malitson 1962 ordinary ray
3.34,1.70104563,0,Al2O3,Malitson 1962 ordinary ray
3.35,1.70069632,0,Al2O3,Malitson 1962 ordinary ray
3.36,1.70034578,0,Al2O3,Malitson 1962 ordinary ray
3.37,1.69999401,0,Al2O3,Malitson 1962 ordinary ray
3.38,1.69964099,0,Al2O3,Malitson 1962 ordinary ray
3.39,1.69928674,0,Al2O3,Malitson 1962 ordinary ray
3.4,1.69893124,0,Al2O3,Malitson 1962 ordinary ray
3.41,1.6985745,0,Al2O3,Malitson 1962 ordinary ray
3.42,1.69821651,0,Al2O3,Malitson 1962 ordinary ray
3.43,1.69785727,0,Al2O3,Malitson 1962 ordinary ray
3.44,1.69749677,0,Al2O3,Malitson 1962 ordinary ray
3.45,1.69713502,0,Al2O3,Malitson 1962 ordinary ray
3.46,1.69677201,0,Al2O3,Malitson 1962 ordinary ray
3.47,1.69640774,0,Al2O3,Malitson 1962 ordinary ray
3.48,1.69604221,0,Al2O3,Malitson 1962 ordinary ray
3.49,1.69567541,0,Al2O3,Malitson 1962 ordinary ray
3.5,1.69530734,0,Al2O3,Malitson 1962 ordinary ray
3.51,1.694938,0,Al2O3,Malitson 1962 ordinary ray
3.52,1.69456739,0,Al2O3,Malitson 1962 ordinary ray
3.53,1.6941955,0,Al2O3,Malitson 1962 ordinary ray
3.54,1.69382233,0,Al2O3,Malitson 1962 ordinary ray
