lambda_um,n,k,material,source
1.19,1.37247561,0,MgF2,Dodge 1984 ordinary ray
1.2,1.37242051,0,MgF2,Dodge 1984 ordinary ray
1.21,1.37236559,0,MgF2,Dodge 1984 ordinary ray
1.22,1.37231082,0,MgF2,Dodge 1984 ordinary ray
1.23,1.37225621,0,MgF2,Dodge 1984 ordinary ray
1.24,1.37220172,0,MgF2,Dodge 1984 ordinary ray
1.25,1.37214735,0,MgF2,Dodge 1984 ordinary ray
1.26,1.37209308,0,MgF2,Dodge 1984 ordinary ray
1.27,1.37203891,0,MgF2,Dodge 1984 ordinary ray
1.28,1.37198481,0,MgF2,Dodge 1984 ordinary ray
1.29,1.37193078,0,MgF2,Dodge 1984 ordinary ray
1.3,1.37187681,0,MgF2,Dodge 1984 ordinary ray
1.31,1.37182287,0,MgF2,Dodge 1984 ordinary ray
1.32,1.37176897,0,MgF2,Dodge 1984 ordinary ray
1.33,1.3717151,0,MgF2,Dodge 1984 ordinary ray
1.34,1.37166123,0,MgF2,Dodge 1984 ordinary ray
1.35,1.37160737,0,MgF2,Dodge 1984 ordinary ray
1.36,1.3715535,0,MgF2,Dodge 1984 ordinary ray
1.37,1.37149962,0,MgF2,Dodge 1984 ordinary ray
1.38,1.37144572,0,MgF2,Dodge 1984 ordinary ray
1.39,1.37139178,0,MgF2,Dodge 1984 ordinary ray
1.4,1.3713378,0,MgF2,Dodge 1984 ordinary ray
1.41,1.37128378,0,MgF2,Dodge 1984 ordinary ray
1.42,1.3712297,0,MgF2,Dodge 1984 ordinary ray
1.43,1.37117556,0,MgF2,Dodge 1984 ordinary ray
1.44,1.37112135,0,MgF2,Dodge 1984 ordinary ray
1.45,1.37106706,0,MgF2,Dodge 1984 ordinary ray
1.46,1.3710127,0,MgF2,Dodge 1984 ordinary ray
1.47,1.37095824,0,MgF2,Dodge 1984 ordinary ray
1.48,1.37090369,0,MgF2,Dodge 1984 ordinary ray
1.49,1.37084904,0,MgF2,Dodge 1984 ordinary ray
1.5,1.37079429,0,MgF2,Dodge 1984 ordinary ray
1.51,1.37073942,0,MgF2,Dodge 1984 ordinary ray
1.52,1.37068444,0,MgF2,Dodge 1984 ordinary ray
1.53,1.37062933,0,MgF2,Dodge 1984 ordinary ray
1.54,1.3705741,0,MgF2,Dodge 1984 ordinary ray
