lambda_um,n,k,material,source
4.56,1.36477492,0,SiO2,Malitson 1965; Tan 1998
4.57,1.36427951,0,SiO2,Malitson 1965; Tan 1998
4.58,1.36378167,0,SiO2,Malitson 1965; Tan 1998
4.59,1.36328137,0,SiO2,Malitson 1965; Tan 1998
4.6,1.36277861,0,SiO2,Malitson 1965; Tan 1998
4.61,1.36227336,0,SiO2,Malitson 1965; Tan 1998
4.62,1.36176562,0,SiO2,Malitson 1965; Tan 1998
4.63,1.36125536,0,SiO2,Malitson 1965; Tan 1998
4.64,1.36074258,0,SiO2,Malitson 1965; Tan 1998
4.65,1.36022725,0,SiO2,Malitson 1965; Tan 1998
4.66,1.35970936,0,SiO2,Malitson 1965; Tan 1998
4.67,1.3591889,0,SiO2,Malitson 1965; Tan 1998
4.68,1.35866584,0,SiO2,Malitson 1965; Tan 1998
4.69,1.35814018,0,SiO2,Malitson 1965; Tan 1998
4.7,1.3576119,0,SiO2,Malitson 1965; Tan 1998
4.71,1.35708097,0,SiO2,Malitson 1965; Tan 1998
4.72,1.3565474,0,SiO2,Malitson 1965; Tan 1998
4.73,1.35601114,0,SiO2,Malitson 1965; Tan 1998
4.74,1.3554722,0,SiO2,Malitson 1965; Tan 1998
4.75,1.35493056,0,SiO2,Malitson 1965; Tan 1998
4.76,1.35438619,0,SiO2,Malitson 1965; Tan 1998
4.77,1.35383908,0,SiO2,Malitson 1965; Tan 1998
4.78,1.35328921,0,SiO2,Malitson 1965; Tan 1998
4.79,1.35273657,0,SiO2,Malitson 1965; Tan 1998
4.8,1.35218113,0,SiO2,Malitson 1965; Tan 1998
4.81,1.35162289,0,SiO2,Malitson 1965; Tan 1998
4.82,1.35106181,0,SiO2,Malitson 1965; Tan 1998
4.83,1.35049789,0,SiO2,Malitson 1965; Tan 1998
4.84,1.34993111,0,SiO2,Malitson 1965; Tan 1998
4.85,1.34936144,0,SiO2,Malitson 1965; Tan 1998
4.86,1.34878887,0,SiO2,Malitson 1965; Tan 1998
4.87,1.34821337,0,SiO2,Malitson 1965; Tan 1998
4.88,1.34763494,0,SiO2,Malitson 1965; Tan 1998
4.89,1.34705355,0,SiO2,Malitson 1965; Tan 1998
4.9,1.34646918,0,SiO2,Malitson 1965; Tan 1998
4.91,1.34588182,0,SiO2,Malitson 1965; Tan 1998
4.92,1.34529143,0,SiO2,Malitson 1965; Tan 1998
4.93,1.34469801,0,SiO2,Malitson 1965; Tan 1998
4.94,1.34410153,0,SiO2,Malitson 1965; Tan 1998
4.95,1.34350197,0,SiO2,Malitson 1965; Tan 1998
4.96,1.34289931,0,SiO2,Malitson 1965; Tan 1998
4.97,1.34229354,0,SiO2,Malitson 1965; Tan 1998
4.98,1.34168462,0,SiO2,Malitson 1965; Tan 1998
4.99,1.34107255,0,SiO2,Malitson 1965; Tan 1998
5,1.34045729,0,SiO2,Malitson 1965; Tan 1998
5.01,1.33983883,0,SiO2,Malitson 1965; Tan 1998
5.02,1.33921714,0,SiO2,Malitson 1965; Tan 1998
5.03,1.33859221,0,SiO2,Malitson 1965; Tan 1998
5.04,1.33796401,0,SiO2,Malitson 1965; Tan 1998
5.05,1.33733251,0,SiO2,Malitson 1965; Tan 1998
5.06,1.3366977,0,SiO2,Malitson 1965; Tan 1998
5.07,1.33605956,0,SiO2,Malitson 1965; Tan 1998
5.08,1.33541806,0,SiO2,Malitson 1965; Tan 1998
5.09,1.33477317,0,SiO2,Malitson 1965; Tan 1998
5.1,1.33412488,0,SiO2,Malitson 1965; Tan 1998
5.11,1.33347315,0,SiO2,Malitson 1965; Tan 1998
5.12,1.33281798,0,SiO2,Malitson 1965; Tan 1998
5.13,1.33215933,0,SiO2,Malitson 1965; Tan 1998
5.14,1.33149717,0,SiO2,Malitson 1965; Tan 1998
5.15,1.33083149,0,SiO2,Malitson 1965; Tan 1998
5.16,1.33016226,0,SiO2,Malitson 1965; Tan 1998
5.17,1.32948945,0,SiO2,Malitson 1965; Tan 1998
5.18,1.32881304,0,SiO2,Malitson 1965; Tan 1998
5.19,1.32813301,0,SiO2,Malitson 1965; Tan 1998
5.2,1.32744932,0,SiO2,Malitson 1965; Tan 1998
5.21,1.32676195,0,SiO2,Malitson 1965; Tan 1998
5.22,1.32607088,0,SiO2,Malitson 1965; Tan 1998
5.23,1.32537608,0,SiO2,Malitson 1965; Tan 1998
5.24,1.32467751,0,SiO2,Malitson 1965; Tan 1998
5.25,1.32397517,0,SiO2,Malitson 1965; Tan 1998
5.26,1.32326901,0,SiO2,Malitson 1965; Tan 1998
5.27,1.322559,0,SiO2,Malitson 1965; Tan 1998
5.28,1.32184514,0,SiO2,Malitson 1965; Tan 1998
5.29,1.32112737,0,SiO2,Malitson 1965; Tan 1998
5.3,1.32040568,0,SiO2,Malitson 1965; Tan 1998
5.31,1.31968004,0,SiO2,Malitson 1965; Tan 1998
5.32,1.31895041,0,SiO2,Malitson 1965; Tan 1998
5.33,1.31821677,0,SiO2,Malitson 1965; Tan 1998
5.34,1.31747909,0,SiO2,Malitson 1965; Tan 1998
5.35,1.31673733,0,SiO2,Malitson 1965; Tan 1998
5.36,1.31599148,0,SiO2,Malitson 1965; Tan 1998
5.37,1.31524149,0,SiO2,Malitson 1965; Tan 1998
5.38,1.31448733,0,SiO2,Malitson 1965; Tan 1998
5.39,1.31372898,0,SiO2,Malitson 1965; Tan 1998
5.4,1.31296641,0,SiO2,Malitson 1965; Tan 1998
5.41,1.31219958,0,SiO2,Malitson 1965; Tan 1998
5.42,1.31142845,0,SiO2,Malitson 1965; Tan 1998
5.43,1.310653,0,SiO2,Malitson 1965; Tan 1998
5.44,1.3098732,0,SiO2,Malitson 1965; Tan 1998
5.45,1.309089,0,SiO2,Malitson 1965; Tan 1998
5.46,1.30830038,0,SiO2,Malitson 1965; Tan 1998
5.47,1.30750731,0,SiO2,Malitson 1965; Tan 1998
5.48,1.30670974,0,SiO2,Malitson 1965; Tan 1998
5.49,1.30590764,0,SiO2,Malitson 1965; Tan 1998
5.5,1.30510099,0,SiO2,Malitson 1965; Tan 1998
5.51,1.30428973,0,SiO2,Malitson 1965; Tan 1998
5.52,1.30347384,0,SiO2,Malitson 1965; Tan 1998
5.53,1.30265329,0,SiO2,Malitson 1965; Tan 1998
5.54,1.30182802,0,SiO2,Malitson 1965; Tan 1998
5.55,1.30099802,0,SiO2,Malitson 1965; Tan 1998
5.56,1.30016323,0,SiO2,Malitson 1965; Tan 1998
5.57,1.29932362,0,SiO2,Malitson 1965; Tan 1998
5.58,1.29847916,0,SiO2,Malitson 1965; Tan 1998
5.59,1.2976298,0,SiO2,Malitson 1965; Tan 1998
5.6,1.2967755,0,SiO2,Malitson 1965; Tan 1998
5.61,1.29591623,0,SiO2,Malitson 1965; Tan 1998
5.62,1.29505195,0,SiO2,Malitson 1965; Tan 1998
5.63,1.29418261,0,SiO2,Malitson 1965; Tan 1998
5.64,1.29330817,0,SiO2,Malitson 1965; Tan 1998
5.65,1.2924286,0,SiO2,Malitson 1965; Tan 1998
5.66,1.29154384,0,SiO2,Malitson 1965; Tan 1998
5.67,1.29065387,0,SiO2,Malitson 1965; Tan 1998
5.68,1.28975862,0,SiO2,Malitson 1965; Tan 1998
5.69,1.28885807,0,SiO2,Malitson 1965; Tan 1998
5.7,1.28795217,0,SiO2,Malitson 1965; Tan 1998
5.71,1.28704087,0,SiO2,Malitson 1965; Tan 1998
5.72,1.28612413,0,SiO2,Malitson 1965; Tan 1998
5.73,1.28520191,0,SiO2,Malitson 1965; Tan 1998
5.74,1.28427415,0,SiO2,Malitson 1965; Tan 1998
5.75,1.28334081,0,SiO2,Malitson 1965; Tan 1998
5.76,1.28240184,0,SiO2,Malitson 1965; Tan 1998
5.77,1.2814572,0,SiO2,Malitson 1965; Tan 1998
5.78,1.28050684,0,SiO2,Malitson 1965; Tan 1998
5.79,1.27955071,0,SiO2,Malitson 1965; Tan 1998
5.8,1.27858876,0,SiO2,Malitson 1965; Tan 1998
5.81,1.27762094,0,SiO2,Malitson 1965; Tan 1998
5.82,1.2766472,0,SiO2,Malitson 1965; Tan 1998
5.83,1.27566748,0,SiO2,Malitson 1965; Tan 1998
5.84,1.27468175,0,SiO2,Malitson 1965; Tan 1998
5.85,1.27368994,0,SiO2,Malitson 1965; Tan 1998
5.86,1.272692,0,SiO2,Malitson 1965; Tan 1998
5.87,1.27168788,0,SiO2,Malitson 1965; Tan 1998
5.88,1.27067752,0,SiO2,Malitson 1965; Tan 1998
5.89,1.26966087,0,SiO2,Malitson 1965; Tan 1998
5.9,1.26863788,0,SiO2,Malitson 1965; Tan 1998
5.91,1.26760848,0,SiO2,Malitson 1965; Tan 1998
5.92,1.26657263,0,SiO2,Malitson 1965; Tan 1998
5.93,1.26553025,0,SiO2,Malitson 1965; Tan 1998
5.94,1.26448131,0,SiO2,Malitson 1965; Tan 1998
5.95,1.26342572,0,SiO2,Malitson 1965; Tan 1998
5.96,1.26236345,0,SiO2,Malitson 1965; Tan 1998
5.97,1.26129442,0,SiO2,Malitson 1965; Tan 1998
5.98,1.26021857,0,SiO2,Malitson 1965; Tan 1998
5.99,1.25913585,0,SiO2,Malitson 1965; Tan 1998
6,1.25804618,0,SiO2,Malitson 1965; Tan 1998
6.01,1.25694951,0,SiO2,Malitson 1965; Tan 1998
6.02,1.25584577,0,SiO2,Malitson 1965; Tan 1998
6.03,1.2547349,0,SiO2,Malitson 1965; Tan 1998
6.04,1.25361682,0,SiO2,Malitson 1965; Tan 1998
6.05,1.25249148,0,SiO2,Malitson 1965; Tan 1998
6.06,1.2513588,0,SiO2,Malitson 1965; Tan 1998
6.07,1.25021872,0,SiO2,Malitson 1965; Tan 1998
6.08,1.24907117,0,SiO2,Malitson 1965; Tan 1998
6.09,1.24791607,0,SiO2,Malitson 1965; Tan 1998
6.1,1.24675336,0,SiO2,Malitson 1965; Tan 1998
6.11,1.24558295,0,SiO2,Malitson 1965; Tan 1998
6.12,1.24440479,0,SiO2,Malitson 1965; Tan 1998
6.13,1.24321879,0,SiO2,Malitson 1965; Tan 1998
6.14,1.24202488,0,SiO2,Malitson 1965; Tan 1998
6.15,1.24082298,0,SiO2,Malitson 1965; Tan 1998
6.16,1.23961302,0,SiO2,Malitson 1965; Tan 1998
6.17,1.23839491,0,SiO2,Malitson 1965; Tan 1998
6.18,1.23716858,0,SiO2,Malitson 1965; Tan 1998
6.19,1.23593395,0,SiO2,Malitson 1965; Tan 1998
6.2,1.23469093,0,SiO2,Malitson 1965; Tan 1998
6.21,1.23343945,0,SiO2,Malitson 1965; Tan 1998
6.22,1.23217941,0,SiO2,Malitson 1965; Tan 1998
6.23,1.23091074,0,SiO2,Malitson 1965; Tan 1998
6.24,1.22963335,0,SiO2,Malitson 1965; Tan 1998
6.25,1.22834714,0,SiO2,Malitson 1965; Tan 1998
6.26,1.22705204,0,SiO2,Malitson 1965; Tan 1998
6.27,1.22574794,0,SiO2,Malitson 1965; Tan 1998
6.28,1.22443477,0,SiO2,Malitson 1965; Tan 1998
6.29,1.22311243,0,SiO2,Malitson 1965; Tan 1998
6.3,1.22178081,0,SiO2,Malitson 1965; Tan 1998
6.31,1.22043984,0,SiO2,Malitson 1965; Tan 1998
6.32,1.21908941,0,SiO2,Malitson 1965; Tan 1998
6.33,1.21772943,0,SiO2,Malitson 1965; Tan 1998
6.34,1.21635979,0,SiO2,Malitson 1965; Tan 1998
6.35,1.21498039,0,SiO2,Malitson 1965; Tan 1998
6.36,1.21359114,0,SiO2,Malitson 1965; Tan 1998
6.37,1.21219192,0,SiO2,Malitson 1965; Tan 1998
6.38,1.21078264,0,SiO2,Malitson 1965; Tan 1998
6.39,1.20936319,0,SiO2,Malitson 1965; Tan 1998
6.4,1.20793345,0,SiO2,Malitson 1965; Tan 1998
6.41,1.20649333,0,SiO2,Malitson 1965; Tan 1998
6.42,1.2050427,0,SiO2,Malitson 1965; Tan 1998
6.43,1.20358145,0,SiO2,Malitson 1965; Tan 1998
6.44,1.20210948,0,SiO2,Malitson 1965; Tan 1998
6.45,1.20062665,0,SiO2,Malitson 1965; Tan 1998
6.46,1.19913286,0,SiO2,Malitson 1965; Tan 1998
6.47,1.19762799,0,SiO2,Malitson 1965; Tan 1998
6.48,1.1961119,0,SiO2,Malitson 1965; Tan 1998
6.49,1.19458449,0,SiO2,Malitson 1965; Tan 1998
6.5,1.19304561,0,SiO2,Malitson 1965; Tan 1998
6.51,1.19149516,0,SiO2,Malitson 1965; Tan 1998
6.52,1.18993298,0,SiO2,Malitson 1965; Tan 1998
6.53,1.18835896,0,SiO2,Malitson 1965; Tan 1998
6.54,1.18677295,0,SiO2,Malitson 1965; Tan 1998
6.55,1.18517483,0,SiO2,Malitson 1965; Tan 1998
6.56,1.18356446,0,SiO2,Malitson 1965; Tan 1998
6.57,1.18194168,0,SiO2,Malitson 1965; Tan 1998
6.58,1.18030637,0,SiO2,Malitson 1965; Tan 1998
6.59,1.17865838,0,SiO2,Malitson 1965; Tan 1998
6.6,1.17699755,0,SiO2,Malitson 1965; Tan 1998
6.61,1.17532375,0,SiO2,Malitson 1965; Tan 1998
6.62,1.17363681,0,SiO2,Malitson 1965; Tan 1998
6.63,1.17193658,0,SiO2,Malitson 1965; Tan 1998
6.64,1.17022291,0,SiO2,Malitson 1965; Tan 1998
6.65,1.16849564,0,SiO2,Malitson 1965; Tan 1998
6.66,1.16675459,0,SiO2,Malitson 1965; Tan 1998
6.67,1.16499962,0,SiO2,Malitson 1965; Tan 1998
6.68,1.16323055,0,SiO2,Malitson 1965; Tan 1998
6.69,1.1614472,0,SiO2,Malitson 1965; Tan 1998
6.7,1.15964941,0,SiO2,Malitson 1965; Tan 1998
