% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 20 2026, 13:57"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.500000000000000E-7,6.662054622222222E2,1.757274191963320E-2∠0.000000000000000E0°,1.757274191963320E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.550000000000000E-7,6.588845230769230E2,1.785680717978340E-2∠0.000000000000000E0°,1.785680717978340E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.600000000000000E-7,6.517227347826087E2,1.815185529719647E-2∠0.000000000000000E0°,1.815185529719647E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.650000000000000E-7,6.447149634408600E2,1.845354489884272E-2∠0.000000000000000E0°,1.845354489884272E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.700000000000000E-7,6.378562936170213E2,1.874715617873339E-2∠0.000000000000000E0°,1.874715617873339E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.750000000000000E-7,6.311420168421052E2,1.905383100581762E-2∠0.000000000000000E0°,1.905383100581762E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.800000000000000E-7,6.245676208333332E2,1.934716957880477E-2∠0.000000000000000E0°,1.934716957880477E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.850000000000000E-7,6.181287793814432E2,1.963304157482576E-2∠0.000000000000000E0°,1.963304157482576E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.900000000000000E-7,6.118213428571429E2,1.992113438656702E-2∠0.000000000000000E0°,1.992113438656702E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.950000000000000E-7,6.056413292929291E2,2.019593048704903E-2∠0.000000000000000E0°,2.019593048704903E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.000000000000000E-7,5.995849160000000E2,2.047901958466662E-2∠0.000000000000000E0°,2.047901958466662E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.050000000000000E-7,5.936484316831683E2,2.073238360960975E-2∠0.000000000000000E0°,2.073238360960975E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.100000000000000E-7,5.878283490196079E2,2.100861432117748E-2∠0.000000000000000E0°,2.100861432117748E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.149999999999999E-7,5.821212776699030E2,2.126545970195681E-2∠0.000000000000000E0°,2.126545970195681E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.200000000000000E-7,5.765239576923076E2,2.152862136988203E-2∠0.000000000000000E0°,2.152862136988203E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.250000000000000E-7,5.710332533333334E2,2.178751033621574E-2∠0.000000000000000E0°,2.178751033621574E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.300000000000000E-7,5.656461471698113E2,2.204266229865664E-2∠0.000000000000000E0°,2.204266229865664E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.350000000000000E-7,5.603597345794393E2,2.230109836855815E-2∠0.000000000000000E0°,2.230109836855815E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.400000000000000E-7,5.551712185185185E2,2.255277071096948E-2∠0.000000000000000E0°,2.255277071096948E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.450000000000000E-7,5.500779045871560E2,2.280517075776274E-2∠0.000000000000000E0°,2.280517075776274E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.500000000000000E-7,5.450771963636364E2,2.305598482949834E-2∠0.000000000000000E0°,2.305598482949834E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.550000000000000E-7,5.401665909909910E2,2.330599702326371E-2∠0.000000000000000E0°,2.330599702326371E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.599999999999999E-7,5.353436750000001E2,2.355099106251544E-2∠0.000000000000000E0°,2.355099106251544E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.650000000000000E-7,5.306061203539823E2,2.378793502311237E-2∠0.000000000000000E0°,2.378793502311237E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.700000000000000E-7,5.259516807017543E2,2.402655293568572E-2∠0.000000000000000E0°,2.402655293568572E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.750000000000000E-7,5.213781878260869E2,2.425665906956188E-2∠0.000000000000000E0°,2.425665906956188E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.800000000000000E-7,5.168835482758622E2,2.449378212359857E-2∠0.000000000000000E0°,2.449378212359857E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.850000000000000E-7,5.124657401709401E2,2.472331793884623E-2∠0.000000000000000E0°,2.472331793884623E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.900000000000000E-7,5.081228101694915E2,2.493865067608506E-2∠0.000000000000000E0°,2.493865067608506E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.950000000000000E-7,5.038528705882353E2,2.516340069937066E-2∠0.000000000000000E0°,2.516340069937066E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.000000000000000E-7,4.996540966666667E2,2.537052706425413E-2∠0.000000000000000E0°,2.537052706425413E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.049999999999999E-7,4.955247239669422E2,2.558141146855136E-2∠0.000000000000000E0°,2.558141146855136E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.100000000000000E-7,4.914630459016394E2,2.578306704944730E-2∠0.000000000000000E0°,2.578306704944730E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.150000000000000E-7,4.874674113821138E2,2.599548877128590E-2∠0.000000000000000E0°,2.599548877128590E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.200000000000000E-7,4.835362225806452E2,2.620093531323115E-2∠0.000000000000000E0°,2.620093531323115E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.249999999999999E-7,4.796679328000001E2,2.640407214933577E-2∠0.000000000000000E0°,2.640407214933577E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
