wavelength_nm,reflectance,theta_deg
450.0,0.2374995664482198,80.0
455.0,0.23756238033471033,80.0
460.0,0.23760485469935763,80.0
465.0,0.23770419268619172,80.0
470.0,0.23768841575298494,80.0
475.0,0.2378165492850029,80.0
479.99999999999994,0.23787414405030802,80.0
485.0,0.23793655667406172,80.0
489.99999999999994,0.2380706867807934,80.0
495.0,0.23816102707793052,80.0
500.0,0.23825040317482632,80.0
505.00000000000006,0.23833581427829742,80.0
510.0,0.23842038311402858,80.0
514.9999999999999,0.23851753380056684,80.0
520.0,0.23862617360158833,80.0
525.0,0.2388081391232838,80.0
530.0,0.23887310321442481,80.0
535.0,0.23888165584418172,80.0
540.0,0.23900456746928442,80.0
545.0,0.2391397875114885,80.0
550.0,0.2392282453502308,80.0
555.0,0.2393642965727077,80.0
559.9999999999999,0.23947063393293302,80.0
565.0,0.23955610873832378,80.0
570.0,0.23970038276585492,80.0
575.0,0.2397513784801221,80.0
580.0,0.23986885015821882,80.0
585.0,0.23995207424920323,80.0
590.0,0.2401136513048416,80.0
595.0,0.24023821636099033,80.0
600.0,0.2403473231868592,80.0
604.9999999999999,0.24048655839418764,80.0
610.0,0.24053564454975662,80.0
615.0,0.240548033349426,80.0
620.0,0.2406537490407089,80.0
625.0,0.2407849510114342,80.0
630.0,0.24086955557780831,80.0
635.0,0.24101781517365384,80.0
640.0,0.2411623187143889,80.0
645.0,0.24128529096346482,80.0
649.9999999999999,0.24139935870076892,80.0
655.0,0.24152068357001122,80.0
660.0,0.24155128904176332,80.0
665.0,0.24163941647812442,80.0
669.9999999999999,0.2416688322785242,80.0
675.0,0.241757699277932,80.0
680.0,0.2418714240541116,80.0
685.0,0.24196120557497638,80.0
690.0,0.2420766587897401,80.0
694.9999999999999,0.2421843643436338,80.0
700.0,0.24231860212046832,80.0
705.0,0.24243208985131923,80.0
710.0,0.24252523448303143,80.0
714.9999999999999,0.2425250842095763,80.0
720.0,0.2426339103417272,80.0
725.0,0.2427517124512645,80.0
730.0,0.24279285325818523,80.0
735.0,0.2428260001673909,80.0
740.0,0.24291153753212621,80.0
745.0,0.2430293505759852,80.0
750.0,0.24314843475571882,80.0
