% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 16 2026, 09:23"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.000000000000000E-7,7.494811450000000E2,1.572935860162336E-2∠0.000000000000000E0°,1.572935860162336E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.050000000000000E-7,7.402282913580246E2,1.526293356707151E-2∠0.000000000000000E0°,1.526293356707151E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.100000000000000E-7,7.312011170731707E2,1.483845340915589E-2∠0.000000000000000E0°,1.483845340915589E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.150000000000000E-7,7.223914650602409E2,1.444710950676008E-2∠0.000000000000000E0°,1.444710950676008E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.200000000000000E-7,7.137915666666668E2,1.410352028435410E-2∠0.000000000000000E0°,1.410352028435410E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.250000000000000E-7,7.053940188235294E2,1.378011947185645E-2∠0.000000000000000E0°,1.378011947185645E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.300000000000000E-7,6.971917627906976E2,1.349696703999144E-2∠0.000000000000000E0°,1.349696703999144E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.350000000000000E-7,6.891780643678161E2,1.323505716706471E-2∠0.000000000000000E0°,1.323505716706471E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.400000000000000E-7,6.813464954545454E2,1.300855203294681E-2∠0.000000000000000E0°,1.300855203294681E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.450000000000000E-7,6.736909168539327E2,1.279654665178864E-2∠0.000000000000000E0°,1.279654665178864E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.500000000000000E-7,6.662054622222222E2,1.261446304298272E-2∠0.000000000000000E0°,1.261446304298272E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.550000000000000E-7,6.588845230769230E2,1.245306862813897E-2∠0.000000000000000E0°,1.245306862813897E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.600000000000000E-7,6.517227347826087E2,1.232049716200015E-2∠0.000000000000000E0°,1.232049716200015E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.650000000000000E-7,6.447149634408600E2,1.220909067939736E-2∠0.000000000000000E0°,1.220909067939736E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.700000000000000E-7,6.378562936170213E2,1.212184331375209E-2∠0.000000000000000E0°,1.212184331375209E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.750000000000000E-7,6.311420168421052E2,1.205728562608139E-2∠0.000000000000000E0°,1.205728562608139E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.800000000000000E-7,6.245676208333332E2,1.201154913210851E-2∠0.000000000000000E0°,1.201154913210851E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.850000000000000E-7,6.181287793814432E2,1.198181317870801E-2∠0.000000000000000E0°,1.198181317870801E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
4.900000000000000E-7,6.118213428571429E2,1.196597861738439E-2∠0.000000000000000E0°,1.196597861738439E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
