% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 23 2026, 11:06"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad),n1_A,n1_B,n1_C,n2_A,n2_B,n2_C
4.500000000000000E-7,6.662054622222222E2,4.284081384308254E-2∠0.000000000000000E0°,4.284081384308254E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.550000000000000E-7,6.588845230769230E2,4.421871168231342E-2∠0.000000000000000E0°,4.421871168231342E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.600000000000000E-7,6.517227347826087E2,3.618106021179498E-2∠0.000000000000000E0°,3.618106021179498E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.650000000000000E-7,6.447149634408600E2,3.436883601288827E-2∠0.000000000000000E0°,3.436883601288827E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.700000000000000E-7,6.378562936170213E2,1.859852915297432E-2∠0.000000000000000E0°,1.859852915297432E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.750000000000000E-7,6.311420168421052E2,2.957348468915883E-2∠0.000000000000000E0°,2.957348468915883E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.800000000000000E-7,6.245676208333332E2,1.095242055277960E-2∠0.000000000000000E0°,1.095242055277960E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.850000000000000E-7,6.181287793814432E2,9.273195394904478E-2∠0.000000000000000E0°,9.273195394904478E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.900000000000000E-7,6.118213428571429E2,1.014134644312722E-1∠0.000000000000000E0°,1.014134644312722E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.950000000000000E-7,6.056413292929291E2,8.318944263510828E-1∠0.000000000000000E0°,8.318944263510828E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.000000000000000E-7,5.995849160000000E2,3.838101809386982E-2∠0.000000000000000E0°,3.838101809386982E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.050000000000000E-7,5.936484316831683E2,3.562913072359809E-2∠0.000000000000000E0°,3.562913072359809E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.100000000000000E-7,5.878283490196079E2,6.235010669178623E-1∠0.000000000000000E0°,6.235010669178623E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.149999999999999E-7,5.821212776699030E2,1.675181734748248E-2∠0.000000000000000E0°,1.675181734748248E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.200000000000000E-7,5.765239576923076E2,1.635213075155477E-2∠0.000000000000000E0°,1.635213075155477E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.250000000000000E-7,5.710332533333334E2,4.538188559293040E-3∠0.000000000000000E0°,4.538188559293040E-3∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.300000000000000E-7,5.656461471698113E2,2.347541155505346E-1∠0.000000000000000E0°,2.347541155505346E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.350000000000000E-7,5.603597345794393E2,1.237915555748597E-1∠0.000000000000000E0°,1.237915555748597E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.400000000000000E-7,5.551712185185185E2,2.756947286670416E-2∠0.000000000000000E0°,2.756947286670416E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.450000000000000E-7,5.500779045871560E2,3.211798424404976E-2∠0.000000000000000E0°,3.211798424404976E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.500000000000000E-7,5.450771963636364E2,3.321803630978838E-2∠0.000000000000000E0°,3.321803630978838E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.550000000000000E-7,5.401665909909910E2,7.210908543962699E-2∠0.000000000000000E0°,7.210908543962699E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.599999999999999E-7,5.353436750000001E2,2.775005478712232E-2∠0.000000000000000E0°,2.775005478712232E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.650000000000000E-7,5.306061203539823E2,4.070860157407073E-2∠0.000000000000000E0°,4.070860157407073E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.700000000000000E-7,5.259516807017543E2,4.449572117609914E-2∠0.000000000000000E0°,4.449572117609914E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.750000000000000E-7,5.213781878260869E2,7.491058113778556E-2∠0.000000000000000E0°,7.491058113778556E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
5.800000000000000E-7,5.168835482758622E2,5.046291505265204E-1∠0.000000000000000E0°,5.046291505265204E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
