% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 19 2026, 14:42"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
6.200000000000000E-7,4.835362225806452E2,1.297160629228887E-2∠0.000000000000000E0°,1.297160629228887E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.249999999999999E-7,4.796679328000001E2,1.288539173266465E-2∠0.000000000000000E0°,1.288539173266465E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.300000000000000E-7,4.758610444444444E2,1.281539032749137E-2∠0.000000000000000E0°,1.281539032749137E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.350000000000000E-7,4.721141070866142E2,1.275055216282785E-2∠0.000000000000000E0°,1.275055216282785E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.400000000000000E-7,4.684257156250000E2,1.270215688227318E-2∠0.000000000000000E0°,1.270215688227318E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.450000000000000E-7,4.647945085271318E2,1.266415800012604E-2∠0.000000000000000E0°,1.266415800012604E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.499999999999999E-7,4.612191661538462E2,1.263462245319479E-2∠0.000000000000000E0°,1.263462245319479E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.550000000000000E-7,4.576984091603053E2,1.261200687778407E-2∠0.000000000000000E0°,1.261200687778407E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.600000000000000E-7,4.542309969696970E2,1.260202125571674E-2∠0.000000000000000E0°,1.260202125571674E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.650000000000000E-7,4.508157263157895E2,1.260255451976079E-2∠0.000000000000000E0°,1.260255451976079E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.699999999999999E-7,4.474514298507463E2,1.260203014941927E-2∠0.000000000000000E0°,1.260203014941927E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.750000000000000E-7,4.441369748148147E2,1.262274056661357E-2∠0.000000000000000E0°,1.262274056661357E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.800000000000000E-7,4.408712617647059E2,1.264732171950054E-2∠0.000000000000000E0°,1.264732171950054E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.850000000000000E-7,4.376532233576642E2,1.268192760879945E-2∠0.000000000000000E0°,1.268192760879945E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.900000000000000E-7,4.344818231884058E2,1.272028634887241E-2∠0.000000000000000E0°,1.272028634887241E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
6.949999999999999E-7,4.313560546762591E2,1.276594802241879E-2∠0.000000000000000E0°,1.276594802241879E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.000000000000000E-7,4.282749400000000E2,1.281792002650732E-2∠0.000000000000000E0°,1.281792002650732E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.050000000000000E-7,4.252375290780141E2,1.287366610527601E-2∠0.000000000000000E0°,1.287366610527601E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.100000000000000E-7,4.222428985915493E2,1.293607836565509E-2∠0.000000000000000E0°,1.293607836565509E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.149999999999999E-7,4.192901510489510E2,1.301224461793748E-2∠0.000000000000000E0°,1.301224461793748E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.200000000000000E-7,4.163784138888889E2,1.308829133439545E-2∠0.000000000000000E0°,1.308829133439545E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.250000000000000E-7,4.135068386206896E2,1.316980650986327E-2∠0.000000000000000E0°,1.316980650986327E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.300000000000000E-7,4.106746000000000E2,1.325021273988539E-2∠0.000000000000000E0°,1.325021273988539E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.350000000000000E-7,4.078808952380953E2,1.333596995002683E-2∠0.000000000000000E0°,1.333596995002683E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.400000000000000E-7,4.051249432432432E2,1.343036636221060E-2∠0.000000000000000E0°,1.343036636221060E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.450000000000000E-7,4.024059838926175E2,1.352524308014839E-2∠0.000000000000000E0°,1.352524308014839E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
7.500000000000000E-7,3.997232773333333E2,1.362408187617679E-2∠0.000000000000000E0°,1.362408187617679E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
