lambda_um,irradiance,source
0.511,1.5769,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.512,1.6186,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.513,1.5206,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.514,1.4885,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.515,1.5314,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.516,1.5455,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.517,1.2594,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.518,1.4403,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.519,1.3957,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.52,1.5236,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.521,1.5346,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.522,1.569,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.523,1.4789,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.524,1.5905,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.525,1.5781,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.526,1.5341,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.527,1.3417,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.528,1.5357,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.529,1.6071,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.53,1.5446,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.531,1.6292,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.532,1.5998,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.533,1.4286,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.534,1.5302,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.535,1.5535,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.536,1.6199,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.537,1.4989,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.538,1.5738,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.539,1.5352,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.54,1.4825,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.541,1.4251,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.542,1.5511,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.543,1.5256,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.544,1.5792,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.545,1.5435,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.546,1.5291,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.547,1.549,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.548,1.5049,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.549,1.552,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.55,1.5399,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.551,1.5382,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.552,1.5697,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.553,1.525,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.554,1.5549,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.555,1.5634,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.556,1.5366,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.557,1.4988,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.558,1.531,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.559,1.4483,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.56,1.474,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.561,1.5595,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.562,1.4847,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.563,1.5408,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.564,1.5106,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.565,1.5201,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.566,1.4374,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.567,1.532,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.568,1.518,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.569,1.4807,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.57,1.4816,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.571,1.4331,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.572,1.5134,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.573,1.5198,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.574,1.5119,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.575,1.4777,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.576,1.4654,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.577,1.5023,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.578,1.456,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.579,1.477,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.58,1.502,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.581,1.5089,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.582,1.532,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.583,1.5479,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.584,1.5448,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.585,1.5324,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.586,1.4953,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.587,1.5281,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.588,1.4934,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.589,1.2894,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.59,1.3709,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.591,1.4662,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.592,1.4354,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.593,1.4561,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.594,1.4491,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.595,1.4308,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.596,1.4745,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.597,1.4788,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.598,1.4607,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.599,1.4606,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.6,1.4753,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.601,1.4579,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.602,1.436,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.603,1.4664,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.604,1.4921,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.605,1.4895,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.606,1.4822,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.607,1.4911,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.608,1.4862,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.609,1.4749,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.61,1.4686,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.611,1.4611,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.612,1.4831,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.613,1.4621,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.614,1.4176,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.615,1.4697,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.616,1.431,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.617,1.4128,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.618,1.4664,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.619,1.4733,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.62,1.4739,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.621,1.4802,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.622,1.4269,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.623,1.4165,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.624,1.4118,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.625,1.4026,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.626,1.4012,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.627,1.4417,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.628,1.3631,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.629,1.4114,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.63,1.3924,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.631,1.4161,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.632,1.3638,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.633,1.4508,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.634,1.4284,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.635,1.4458,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.636,1.4128,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.637,1.461,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.638,1.4707,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.639,1.4646,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.64,1.434,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.641,1.4348,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.642,1.4376,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.643,1.4525,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.644,1.4462,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.645,1.4567,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.646,1.415,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.647,1.4086,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.648,1.3952,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.649,1.3519,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.65,1.3594,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.651,1.4447,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.652,1.3871,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.653,1.4311,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.654,1.4153,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.655,1.3499,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.656,1.1851,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.657,1.2393,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.658,1.3855,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.659,1.3905,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.66,1.3992,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.661,1.3933,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.662,1.3819,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.663,1.3844,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.664,1.3967,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.665,1.4214,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.666,1.4203,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.667,1.4102,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.668,1.415,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.669,1.4394,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.67,1.4196,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.671,1.4169,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.672,1.3972,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.673,1.4094,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.674,1.4074,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.675,1.3958,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.676,1.412,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.677,1.3991,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.678,1.4066,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.679,1.3947,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.68,1.3969,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.681,1.3915,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.682,1.3981,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.683,1.383,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.684,1.3739,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.685,1.3748,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.686,1.3438,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.687,0.96824,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.688,1.1206,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.689,1.1278,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.69,1.1821,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.691,1.2333,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.692,1.2689,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.693,1.2609,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.694,1.2464,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.695,1.2714,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.696,1.2684,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.697,1.3403,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.698,1.3192,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.699,1.2918,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.7,1.2823,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.701,1.2659,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.702,1.2674,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.703,1.2747,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.704,1.3078,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.705,1.3214,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.706,1.3144,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.707,1.309,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.708,1.3048,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.709,1.3095,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.71,1.3175,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.711,1.3155,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.712,1.3071,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.713,1.2918,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.714,1.3029,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.715,1.2587,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.716,1.2716,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.717,1.1071,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.718,1.0296,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.719,0.92318,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.72,0.9855,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.721,1.0861,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.722,1.2407,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.723,1.1444,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.724,1.0555,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.725,1.038,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.726,1.0813,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.727,1.085,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.728,1.04,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.729,1.0466,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.73,1.1285,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.731,1.0703,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.732,1.1534,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.733,1.1962,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.734,1.2357,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.735,1.2178,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.736,1.2059,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.737,1.2039,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.738,1.2269,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.739,1.1905,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.74,1.2195,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.741,1.2148,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.742,1.2153,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.743,1.2405,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.744,1.2503,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.745,1.2497,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.746,1.247,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.747,1.2477,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.748,1.2401,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.749,1.2357,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.75,1.2341,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.751,1.2286,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.752,1.233,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.753,1.2266,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.754,1.242,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.755,1.2383,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.756,1.2232,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.757,1.2221,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.758,1.2295,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.759,1.1945,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.76,0.26604,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.761,0.15396,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.762,0.68766,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.763,0.37952,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.764,0.53878,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.765,0.68601,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.766,0.81461,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.767,0.97417,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.768,1.1138,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.769,1.1278,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.77,1.1608,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.771,1.1686,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.772,1.1778,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.773,1.1771,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.774,1.1771,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.775,1.1771,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.776,1.1798,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.777,1.1727,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.778,1.1713,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.779,1.1765,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.78,1.1636,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.781,1.1607,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.782,1.1662,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.783,1.1614,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.784,1.1536,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.785,1.1586,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.786,1.1592,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.787,1.145,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.788,1.1305,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.789,1.1257,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.79,1.091,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.791,1.1058,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.792,1.0953,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.793,1.0875,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.794,1.0972,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.795,1.0932,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.796,1.0742,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.797,1.0913,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.798,1.1121,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.799,1.0905,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.8,1.0725,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.801,1.0843,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.802,1.0856,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.803,1.0657,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.804,1.0782,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.805,1.0545,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.806,1.0974,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.807,1.0859,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.808,1.0821,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.809,1.0548,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.81,1.0559,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.811,1.0533,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.812,1.0268,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.813,1.0086,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.814,0.90356,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.815,0.89523,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.816,0.83216,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.817,0.85183,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.818,0.82259,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.819,0.90519,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.82,0.86188,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.821,0.99764,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.822,0.95157,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.823,0.67271,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.824,0.93506,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.825,0.96935,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.826,0.93381,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.827,0.98465,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.828,0.84979,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.829,0.9293,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.83,0.91601,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.831,0.92392,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.832,0.89426,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.833,0.9565,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.834,0.93412,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.835,1.0032,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.836,0.97234,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.837,1.0092,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.838,0.99901,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.839,1.0013,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.84,1.0157,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.841,1.0101,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.842,0.99703,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.843,1.0053,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.844,0.98631,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.845,1.0165,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.846,1.0187,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.847,0.9917,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.848,0.99217,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.849,0.98596,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.85,0.89372,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.851,0.97493,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.852,0.96927,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.853,0.96486,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.854,0.85112,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.855,0.913,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.856,0.97317,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.857,0.99166,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.858,0.99196,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.859,0.99171,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.86,0.98816,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.861,0.98679,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.862,0.99449,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.863,1.0005,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.864,0.97916,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.865,0.96324,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.866,0.849,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.867,0.91546,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.868,0.9592,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.869,0.94956,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
