lambda_um,irradiance,source
0.3185,0.18591,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.319,0.2047,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3195,0.19589,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.32,0.20527,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3205,0.24525,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.321,0.25024,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3215,0.23843,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.322,0.22203,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3225,0.21709,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.323,0.21226,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3235,0.24861,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.324,0.27537,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3245,0.28321,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.325,0.27894,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3255,0.32436,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.326,0.3812,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3265,0.40722,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.327,0.39806,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3275,0.38465,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.328,0.35116,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3285,0.37164,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.329,0.42235,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3295,0.46878,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.33,0.47139,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3305,0.428,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.331,0.40262,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3315,0.41806,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.332,0.43623,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3325,0.43919,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.333,0.42944,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3335,0.40724,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.334,0.41497,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3345,0.44509,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.335,0.46388,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3355,0.45313,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.336,0.41519,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3365,0.38214,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.337,0.3738,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3375,0.40051,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.338,0.43411,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3385,0.45527,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.339,0.46355,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3395,0.47446,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.34,0.5018,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3405,0.50071,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.341,0.47139,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3415,0.46935,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.342,0.48934,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3425,0.50767,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.343,0.51489,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3435,0.48609,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.344,0.41843,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3445,0.40307,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.345,0.45898,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3455,0.48932,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.346,0.47778,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3465,0.48657,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
