wavelength_nm,reflectance,theta_deg
450.0,0.2431566747256656,80.0
455.0,0.2431208701475467,80.0
460.0,0.2431021924385683,80.0
465.0,0.2430824760057344,80.0
470.0,0.2429652740585736,80.0
475.0,0.2429891142236925,80.0
479.99999999999994,0.2429794931146793,80.0
485.0,0.2429056138263411,80.0
489.99999999999994,0.242903602104002,80.0
495.0,0.2428007070949314,80.0
500.0,0.2427236415396548,80.0
505.00000000000006,0.2426844277049781,80.0
510.0,0.2426515265592847,80.0
514.9999999999999,0.242635330139907,80.0
520.0,0.2426274480492387,80.0
525.0,0.2425592495963204,80.0
530.0,0.2424264857826518,80.0
535.0,0.2423922273155096,80.0
540.0,0.2423391404146122,80.0
545.0,0.2423341584887411,80.0
550.0,0.2422512515969118,80.0
555.0,0.2422022162890865,80.0
559.9999999999999,0.2421430937343033,80.0
565.0,0.2420541407288286,80.0
570.0,0.2419844192326303,80.0
575.0,0.2419637856912242,80.0
580.0,0.2419217754122994,80.0
585.0,0.241851124672597,80.0
590.0,0.241794731479007,80.0
595.0,0.2417358472371593,80.0
600.0,0.2416482572681862,80.0
604.9999999999999,0.2415323907727155,80.0
610.0,0.2415205484873373,80.0
615.0,0.2414513617743798,80.0
620.0,0.2414334585779206,80.0
625.0,0.2413966942952112,80.0
630.0,0.2413594118070408,80.0
635.0,0.2412495066485261,80.0
640.0,0.2411766966817507,80.0
645.0,0.241092230166352,80.0
649.9999999999999,0.2410108146855667,80.0
655.0,0.240943296409575,80.0
660.0,0.2409304539424518,80.0
665.0,0.2408879367782449,80.0
669.9999999999999,0.2408836901424591,80.0
675.0,0.2408726042437177,80.0
680.0,0.2408090017141959,80.0
685.0,0.2407536328550224,80.0
690.0,0.2407024321370157,80.0
694.9999999999999,0.2406453634446713,80.0
700.0,0.2405502017673135,80.0
705.0,0.2405039460333163,80.0
710.0,0.2404301270615675,80.0
714.9999999999999,0.2404357252023279,80.0
720.0,0.2403634274857509,80.0
725.0,0.2403099855079406,80.0
730.0,0.2403117899245891,80.0
735.0,0.2402529964325186,80.0
740.0,0.2402323242081463,80.0
745.0,0.240217483187964,80.0
750.0,0.2401206837220574,80.0
