wavelength_nm,reflectance,theta_deg
450.0,0.0197488612774549,10.0
455.0,0.017936499862397003,10.0
460.0,0.016110852924864593,10.0
465.0,0.014390710445473921,10.0
470.0,0.01289043030969867,10.0
475.0,0.011709985197256162,10.0
479.99999999999994,0.010926640295079691,10.0
485.0,0.01058266628521849,10.0
489.99999999999994,0.01068527985217816,10.0
495.0,0.011206611760388022,10.0
500.0,0.01209202876413093,10.0
505.00000000000006,0.013265429036324031,10.0
510.0,0.014644657277563592,10.0
514.9999999999999,0.016145841375310773,10.0
520.0,0.01769113493604191,10.0
525.0,0.01921475523506546,10.0
530.0,0.020662379347526242,10.0
535.0,0.02199287192532805,10.0
540.0,0.02317334157774327,10.0
545.0,0.024184719022859912,10.0
550.0,0.02501324169966986,10.0
555.0,0.025653030037910154,10.0
559.9999999999999,0.026102278358880782,10.0
565.0,0.02636160795729833,10.0
570.0,0.02643816062721372,10.0
575.0,0.02633748509601811,10.0
580.0,0.02606827496742883,10.0
585.0,0.025641857750333952,10.0
590.0,0.02506873511227711,10.0
595.0,0.024363057972878112,10.0
600.0,0.023539093070586062,10.0
604.9999999999999,0.02261273686852307,10.0
610.0,0.02160062094121866,10.0
615.0,0.02052067750663382,10.0
620.0,0.019393139194006353,10.0
625.0,0.01823967226944517,10.0
630.0,0.017081087962181322,10.0
635.0,0.015939848335377548,10.0
640.0,0.014835542244291601,10.0
645.0,0.013791616422509222,10.0
649.9999999999999,0.012826802978290062,10.0
655.0,0.0119604411485897,10.0
660.0,0.01120722366152041,10.0
665.0,0.01058098696967074,10.0
669.9999999999999,0.010091229349737212,10.0
675.0,0.009744769243507097,10.0
680.0,0.009543629560286397,10.0
685.0,0.009487673455303538,10.0
690.0,0.009572514177115792,10.0
694.9999999999999,0.00979133902955131,10.0
700.0,0.0101347211669824,10.0
705.0,0.0105913215146865,10.0
710.0,0.01114816933565897,10.0
714.9999999999999,0.01179228625102373,10.0
720.0,0.01250890813807262,10.0
725.0,0.01328430150916321,10.0
730.0,0.014104310886958791,10.0
735.0,0.014957246428302371,10.0
740.0,0.01582918627357329,10.0
745.0,0.01670993640350955,10.0
750.0,0.01758947399895236,10.0
