wavelength_nm,reflectance,theta_deg
450.0,0.02385240805290316,10.0
455.0,0.02333124185227034,10.0
460.0,0.02284102622832046,10.0
465.0,0.02235897150455489,10.0
470.0,0.02190446760408741,10.0
475.0,0.02148687190109441,10.0
479.99999999999994,0.02107863152520025,10.0
485.0,0.02070601458343896,10.0
489.99999999999994,0.02034715239034828,10.0
495.0,0.02001496797805862,10.0
500.0,0.01969411402769175,10.0
505.00000000000006,0.01939468280671144,10.0
510.0,0.01911861227721345,10.0
514.9999999999999,0.01885521118304089,10.0
520.0,0.01860555396107033,10.0
525.0,0.01837566728239191,10.0
530.0,0.01816515172586972,10.0
535.0,0.01797081759888138,10.0
540.0,0.0177959030888061,10.0
545.0,0.01764002170294276,10.0
550.0,0.01749752777088149,10.0
555.0,0.01737608202347094,10.0
559.9999999999999,0.01726942410265197,10.0
565.0,0.017172389220049,10.0
570.0,0.01709252606942415,10.0
575.0,0.01701722638046897,10.0
580.0,0.01696914365349806,10.0
585.0,0.01692255926476967,10.0
590.0,0.0168910690575849,10.0
595.0,0.01686755253440405,10.0
600.0,0.01684981470058053,10.0
604.9999999999999,0.01683954890585609,10.0
610.0,0.01683605269397818,10.0
615.0,0.01684921887961682,10.0
620.0,0.01686322071443428,10.0
625.0,0.01688361777895622,10.0
630.0,0.01691413373243382,10.0
635.0,0.01694569039094918,10.0
640.0,0.01699717745333402,10.0
645.0,0.01704305208838932,10.0
649.9999999999999,0.01710119066247593,10.0
655.0,0.01716489704494123,10.0
660.0,0.01723492340418432,10.0
665.0,0.0173123300209033,10.0
669.9999999999999,0.01738291432061871,10.0
675.0,0.01746754110215085,10.0
680.0,0.01755618872791595,10.0
685.0,0.01764701033444156,10.0
690.0,0.01774200390637778,10.0
694.9999999999999,0.01783802182698684,10.0
700.0,0.01793642770010075,10.0
705.0,0.0180359087803701,10.0
710.0,0.01813731759100611,10.0
714.9999999999999,0.01824894795237498,10.0
720.0,0.01835987561038746,10.0
725.0,0.01847201916849864,10.0
730.0,0.01858109635428243,10.0
735.0,0.01869101334716147,10.0
740.0,0.01880292281557459,10.0
745.0,0.01891685343779833,10.0
750.0,0.01903479084887159,10.0
